,Datetime,Region,Technology,Emission,Value
101,2070,reg1,NG_supply,CO2,18244675166.60933
102,2020,reg1,SFF_supply,CO2,797579190.8007227
103,2021,reg1,SFF_supply,CO2,817366072.9217782
104,2022,reg1,SFF_supply,CO2,816620190.8001555
105,2023,reg1,SFF_supply,CO2,840389274.493872
106,2024,reg1,SFF_supply,CO2,864158358.1875881
107,2025,reg1,SFF_supply,CO2,887927441.8813047
108,2026,reg1,SFF_supply,CO2,848148141.7116376
109,2027,reg1,SFF_supply,CO2,808340467.0447172
110,2028,reg1,SFF_supply,CO2,768503660.6926137
111,2029,reg1,SFF_supply,CO2,728636938.2843373
112,2030,reg1,SFF_supply,CO2,688739487.0349504
113,2031,reg1,SFF_supply,CO2,659409984.5121045
114,2032,reg1,SFF_supply,CO2,641833106.8844471
115,2033,reg1,SFF_supply,CO2,600750979.4664118
116,2034,reg1,SFF_supply,CO2,571421476.9435656
117,2035,reg1,SFF_supply,CO2,542091974.4207194
118,2036,reg1,SFF_supply,CO2,513638710.1657065
119,2037,reg1,SFF_supply,CO2,485185445.9106937
120,2038,reg1,SFF_supply,CO2,456732181.65568084
121,2039,reg1,SFF_supply,CO2,428278917.40066797
122,2040,reg1,SFF_supply,CO2,399825653.14565504
123,2041,reg1,SFF_supply,CO2,372039154.7690364
124,2042,reg1,SFF_supply,CO2,344252656.3924176
125,2043,reg1,SFF_supply,CO2,318041452.0757022
126,2044,reg1,SFF_supply,CO2,288679659.63918036
127,2045,reg1,SFF_supply,CO2,260893161.26256135
128,2046,reg1,SFF_supply,CO2,262899594.44465354
129,2047,reg1,SFF_supply,CO2,264906027.62674585
130,2048,reg1,SFF_supply,CO2,266912460.80883816
131,2049,reg1,SFF_supply,CO2,268918893.99093044
132,2050,reg1,SFF_supply,CO2,270925327.17302275
133,2051,reg1,SFF_supply,CO2,270925327.17302275
134,2052,reg1,SFF_supply,CO2,270925327.17302275
135,2053,reg1,SFF_supply,CO2,270925327.17302275
136,2054,reg1,SFF_supply,CO2,270925327.17302275
137,2055,reg1,SFF_supply,CO2,270925327.17302275
138,2056,reg1,SFF_supply,CO2,270925327.17302275
139,2057,reg1,SFF_supply,CO2,270925327.17302275
140,2058,reg1,SFF_supply,CO2,270925327.17302275
141,2059,reg1,SFF_supply,CO2,270925327.17302275
142,2060,reg1,SFF_supply,CO2,270925327.17302275
143,2061,reg1,SFF_supply,CO2,270925327.17302275
144,2062,reg1,SFF_supply,CO2,270925327.17302275
145,2063,reg1,SFF_supply,CO2,270925327.17302275
146,2064,reg1,SFF_supply,CO2,270925327.17302275
147,2065,reg1,SFF_supply,CO2,270925327.17302275
148,2066,reg1,SFF_supply,CO2,270925327.17302275
149,2067,reg1,SFF_supply,CO2,270925327.17302275
150,2068,reg1,SFF_supply,CO2,270925327.17302275
151,2069,reg1,SFF_supply,CO2,270925327.17302275
152,2070,reg1,SFF_supply,CO2,270925327.17302275
153,2020,reg1,OP_supply,CO2,0.0
154,2021,reg1,OP_supply,CO2,0.0
155,2022,reg1,OP_supply,CO2,0.0
156,2023,reg1,OP_supply,CO2,0.0
157,2024,reg1,OP_supply,CO2,0.0
158,2025,reg1,OP_supply,CO2,0.0
159,2026,reg1,OP_supply,CO2,0.0
160,2027,reg1,OP_supply,CO2,0.0
161,2028,reg1,OP_supply,CO2,0.0
162,2029,reg1,OP_supply,CO2,0.0
163,2030,reg1,OP_supply,CO2,0.0
164,2031,reg1,OP_supply,CO2,0.0
165,2032,reg1,OP_supply,CO2,0.0
166,2033,reg1,OP_supply,CO2,0.0
167,2034,reg1,OP_supply,CO2,0.0
168,2035,reg1,OP_supply,CO2,0.0
169,2036,reg1,OP_supply,CO2,0.0
170,2037,reg1,OP_supply,CO2,0.0
171,2038,reg1,OP_supply,CO2,0.0
172,2039,reg1,OP_supply,CO2,0.0
173,2040,reg1,OP_supply,CO2,0.0
174,2041,reg1,OP_supply,CO2,0.0
175,2042,reg1,OP_supply,CO2,0.0
176,2043,reg1,OP_supply,CO2,0.0
177,2044,reg1,OP_supply,CO2,0.0
178,2045,reg1,OP_supply,CO2,0.0
179,2046,reg1,OP_supply,CO2,0.0
180,2047,reg1,OP_supply,CO2,0.0
181,2048,reg1,OP_supply,CO2,0.0
182,2049,reg1,OP_supply,CO2,0.0
183,2050,reg1,OP_supply,CO2,0.0
184,2051,reg1,OP_supply,CO2,0.0
185,2052,reg1,OP_supply,CO2,0.0
186,2053,reg1,OP_supply,CO2,0.0
187,2054,reg1,OP_supply,CO2,0.0
188,2055,reg1,OP_supply,CO2,0.0
189,2056,reg1,OP_supply,CO2,0.0
190,2057,reg1,OP_supply,CO2,0.0
191,2058,reg1,OP_supply,CO2,0.0
192,2059,reg1,OP_supply,CO2,0.0
193,2060,reg1,OP_supply,CO2,0.0
194,2061,reg1,OP_supply,CO2,0.0
195,2062,reg1,OP_supply,CO2,0.0
196,2063,reg1,OP_supply,CO2,0.0
197,2064,reg1,OP_supply,CO2,0.0
198,2065,reg1,OP_supply,CO2,0.0
199,2066,reg1,OP_supply,CO2,0.0
200,2067,reg1,OP_supply,CO2,0.0
201,2068,reg1,OP_supply,CO2,0.0
202,2069,reg1,OP_supply,CO2,0.0
203,2070,reg1,OP_supply,CO2,0.0
204,2020,reg1,BW_supply,CO2,0.0
205,2021,reg1,BW_supply,CO2,0.0
206,2022,reg1,BW_supply,CO2,0.0
207,2023,reg1,BW_supply,CO2,0.0
208,2024,reg1,BW_supply,CO2,0.0
209,2025,reg1,BW_supply,CO2,0.0
210,2026,reg1,BW_supply,CO2,0.0
211,2027,reg1,BW_supply,CO2,0.0
212,2028,reg1,BW_supply,CO2,0.0
213,2029,reg1,BW_supply,CO2,0.0
214,2030,reg1,BW_supply,CO2,0.0
215,2031,reg1,BW_supply,CO2,0.0
216,2032,reg1,BW_supply,CO2,0.0
217,2033,reg1,BW_supply,CO2,0.0
218,2034,reg1,BW_supply,CO2,0.0
219,2035,reg1,BW_supply,CO2,0.0
220,2036,reg1,BW_supply,CO2,0.0
221,2037,reg1,BW_supply,CO2,0.0
222,2038,reg1,BW_supply,CO2,0.0
223,2039,reg1,BW_supply,CO2,0.0
224,2040,reg1,BW_supply,CO2,0.0
225,2041,reg1,BW_supply,CO2,0.0
226,2042,reg1,BW_supply,CO2,0.0
227,2043,reg1,BW_supply,CO2,0.0
228,2044,reg1,BW_supply,CO2,0.0
229,2045,reg1,BW_supply,CO2,0.0
230,2046,reg1,BW_supply,CO2,0.0
231,2047,reg1,BW_supply,CO2,0.0
232,2048,reg1,BW_supply,CO2,0.0
233,2049,reg1,BW_supply,CO2,0.0
234,2050,reg1,BW_supply,CO2,0.0
235,2051,reg1,BW_supply,CO2,0.0
236,2052,reg1,BW_supply,CO2,0.0
237,2053,reg1,BW_supply,CO2,0.0
238,2054,reg1,BW_supply,CO2,0.0
239,2055,reg1,BW_supply,CO2,0.0
240,2056,reg1,BW_supply,CO2,0.0
241,2057,reg1,BW_supply,CO2,0.0
242,2058,reg1,BW_supply,CO2,0.0
243,2059,reg1,BW_supply,CO2,0.0
244,2060,reg1,BW_supply,CO2,0.0
245,2061,reg1,BW_supply,CO2,0.0
246,2062,reg1,BW_supply,CO2,0.0
247,2063,reg1,BW_supply,CO2,0.0
248,2064,reg1,BW_supply,CO2,0.0
249,2065,reg1,BW_supply,CO2,0.0
250,2066,reg1,BW_supply,CO2,0.0
251,2067,reg1,BW_supply,CO2,0.0
252,2068,reg1,BW_supply,CO2,0.0
